country_tag,type,difficulty,success,r_rsc_id,s_rsc_id,r_pkg_id,s_pkg_id,r_rsc_name,s_rsc_name,r_col_name,s_col_name,sql,nl,sql_success,sql_time,sql_n_rev,sql_review,sql_intok,sql_outok,nl_time,nl_n_rev,nl_review,nl_intok,nl_outok,tot_time
UK,single-table,simple,true,2013c2bd-3e64-40d2-8d30-d32514d005eb,,d67f7b1b-89f3-47a6-95a4-5f7c240c4874,,Contracts Finder OCDS 2024-09-26,,,,"SELECT uri, published_date FROM R WHERE version = 1.1",Can you show me the links and publication dates for Contracts Finder notices that use version 1.1 of the Open Contracting Data Standard?,success,7.26,0,,3485,239,6.591,0,,3358,145,13.850999999999999
UK,multi-table-join,challenging,true,d996bf42-fabe-4236-93b1-df4402ef3f39,b5b04166-cee5-4472-8fc1-57bee087f39a,87e88687-e6f8-4710-b32b-1b11665e206a,dd2a5b45-9849-47be-89b1-6d41e40c05e7,,,generic_job_title,generic_job_title,"SELECT R.""generic_job_title"", COUNT(DISTINCT R.""organisation"") AS unique_organisations_in_R, COUNT(DISTINCT S.""organisation"") AS unique_organisations_in_S FROM R JOIN S ON R.""generic_job_title"" = S.""generic_job_title"" GROUP BY R.""generic_job_title""","Which job titles are shared between staff at the Veterinary Medicines Directorate and the Department for Environment, Food and Rural Affairs, and how many unique organizations within each department hold those positions?",success,42.611,3,,10455,1649,6.461,0,,3460,144,49.071999999999996
UK,single-table,moderate,true,b9305ee6-edfd-46a9-b3ee-16753b650a9a,,5dcf1a8e-4bad-4d9c-b90b-41f1a3dce03b,,,,,,"SELECT ""organisation"", ""unit"", COUNT(*) AS number_of_units FROM R GROUP BY ""organisation"", ""unit"" ORDER BY number_of_units DESC;","Which units within each organisation in the Ministry of Defence have the most roles, and how many roles do they have?",success,15.283,1,,3394,643,5.855,0,,2312,154,21.137999999999998
UK,multi-table-join,challenging,true,e8b18ad8-91b8-49d2-be61-9ef5c6aaa66a,af83d357-7270-42e9-b033-1916242e3c49,37a1a24b-5934-4617-beae-ebd90f7793cd,d75f8904-5ebc-45de-b81d-e113c7bd1998,CSV,CSV,lau125_nm,lad23_nm,"SELECT R.lau125_nm, AVG(S.shape__area) as avg_area FROM R JOIN S ON R.lau125_nm = S.lad23_nm GROUP BY R.lau125_nm ORDER BY avg_area DESC;",Which local administrative units level 1 in the UK as of January 2025 have the largest average area based on their corresponding Local Authority Districts boundaries from December 2023? Please list them in descending order of average area.,success,46.94,3,,9311,1638,11.232,0,,5957,177,58.172
UK,multi-table-join,simple,true,f40016fc-b605-4ea0-a634-3be841abb909,90cfa9b2-3e53-4eb4-b267-ebce6026a67a,a62d9c58-4fd2-4dba-a7bb-523415f040a0,5359dd6e-64ad-49f8-9dda-3dc740f95635,2022-06-30 Organogram (Junior),2024-01-25 Organogram (Junior),grade,grade,"SELECT R.grade, R.generic_job_title AS job_title_in_R, S.generic_job_title AS job_title_in_S FROM R JOIN S ON R.grade = S.grade",Which job titles in Air Command and Strategic Command have the same grade level within the Ministry of Defence?,success,7.472,0,,2892,263,6.284,0,,3131,136,13.756
UK,single-table,simple,true,dd58a323-d8d2-4aa2-a840-1e7f58b1a4fe,,04427362-663e-49e0-9103-8bc01dcaa2c7,,DHSC 2022-03-31 Organogram (Senior),,,,"SELECT name, job_title FROM R WHERE organisation = 'department of health and social care';",Can you provide the names and job titles of individuals who work at the Department of Health and Social Care?,success,5.492,0,,2483,210,5.825,0,,2870,132,11.317
UK,single-table,simple,true,eb18eeb7-213f-48b4-86cc-b09a89ec5b67,,3bbde6f7-4c7a-4704-82f6-9622e0249f3d,,Contracts Finder OCDS 2024-10-02,,,,"SELECT uri, published_date FROM R WHERE version = 1.1",Can you show me the URLs and publication dates of the Contracts Finder notices that use version 1.1 of the Open Contracting Data Standard?,success,7.291,0,,3472,237,6.645,0,,3341,146,13.936
UK,single-table,simple,true,de364786-9d96-4ae6-b343-61c09452e328,,ce58a8e5-bad4-43e0-8008-267f8817a458,,,,,,SELECT * FROM R WHERE grade = 'grade 6';,"In the Identity & Passport Service’s organizational chart (organogram), which roles are designated with Grade 6?",success,5.621,0,,1603,251,16.998,2,,5767,492,22.619
UK,multi-table-union,simple,true,fb470fbf-72d6-49d8-a2b7-6264725a1571,dc4b8b4a-010b-4421-b748-2323cd55745c,bba6c748-6023-4b57-a169-b0ac8f0eed15,7920b8ad-ad68-46cb-b82f-7147d8fd7b39,CSV,CSV,y1930s,y1904,"SELECT ""y"", ""y1980s"", ""y1990s"", ""current_us"", ""y1950s"", ""ih_history"", ""y_coordina"", ""ix"", ""x_coordina"", ""y1970s"", ""post_town"", ""objectid"", ""y1904"", ""dbid"", ""site_id"", ""y1930s"", ""address_1"", ""descriptio"", ""y1960s"", ""id"" FROM R UNION SELECT ""y"", ""y1980s"", ""y1990s"", ""current_us"", ""y1950s"", ""ih_history"", ""y_coordina"", ""ix"", ""x_coordina"", ""y1970s"", ""post_town"", ""objectid"", ""y1904"", ""dbid"", ""site_id"", ""y1930s"", ""address_1"", ""descriptio"", ""y1960s"", ""id"" FROM S","Could you provide detailed information on industrial sites in Northern Ireland, including their coordinates (x and y), historical uses from different decades such as the 1980s and 1990s, current usage, descriptions of the site's history, post towns, object identifiers, database IDs, site IDs, addresses, and details from other relevant periods like the 1950s, 1960s, 1970s, and early 1900s? I'm interested in understanding how these sites have evolved over time.",success,10.223,0,,978,491,60.75,3,,30369,950,70.973
UK,single-table,moderate,true,f5582630-5645-4df8-a6a3-bf36a85d675a,,708572e1-7cb8-4907-bfa3-7c1a0c2dc3dc,,CSV,,,,"SELECT ""lad16_nm"", AVG(""shape__length"") AS avg_shape_length FROM R GROUP BY ""lad16_nm""",What is the average boundary length for each Local Authority District in the UK as of December 2016 according to the Office for National Statistics data?,success,21.175,2,,5166,882,7.727,0,,4297,138,28.902
UK,multi-table-join,simple,true,fbfe8cdf-e5f9-428b-a3ad-aae566cf21f1,269a2257-a3fa-47a6-b6d2-d429d18a5345,91ba4016-b143-4c92-b899-121fd760f742,5d21756f-35d2-48a7-b381-f27643659c1f,,2019-09-30 Organogram (Junior),grade,grade,"SELECT R.parent_department, S.organisation FROM R JOIN S ON R.grade = S.grade LIMIT 5;",How do the parent departments of Rural Payments Agency compare with the organisations in Department for International Development for roles that share the same grade? Please provide details for five such comparisons.,success,7.245,0,,2744,268,6.458,0,,3137,145,13.703
UK,single-table,challenging,true,d3096580-5e22-4898-b2cd-33853184607f,,4940dcb0-49cc-4a66-844c-2c813b66f27c,,,,,,"WITH DepartmentSalaryStats AS ( SELECT parent_department, AVG(payscale_maximum__a_ - payscale_minimum__a_) AS avg_salary_range, COUNT(*) AS number_of_posts FROM R GROUP BY parent_department ) SELECT ds.parent_department, ds.avg_salary_range, ds.number_of_posts, ROW_NUMBER() OVER (ORDER BY ds.avg_salary_range DESC) AS salary_rank FROM DepartmentSalaryStats ds;","What is the average salary range for different departments within the Forestry Commission, and how do these departments rank based on their average salary ranges?",success,16.969,1,,3174,713,6.575,0,,2039,192,23.544
UK,multi-table-join,simple,true,e8b18ad8-91b8-49d2-be61-9ef5c6aaa66a,af83d357-7270-42e9-b033-1916242e3c49,37a1a24b-5934-4617-beae-ebd90f7793cd,d75f8904-5ebc-45de-b81d-e113c7bd1998,CSV,CSV,lau125_nm,lad23_nm,"SELECT R.ilau125_cd, R.lau125_nm, S.ifid, S.lad23_cd FROM R JOIN S ON R.lau125_nm = S.lad23_nm;",Which local administrative units level 1 codes and names from January 2025 match with their corresponding IDs and Local Authority District codes from December 2023 boundaries in the UK?,success,7.664,0,,2337,267,11.295,0,,5934,171,18.959
UK,multi-table-join,moderate,true,d79b3207-b7e1-4204-981e-b70e3e4e162c,c624c1d2-2142-4419-bb6b-e8dffed29101,92f6d480-8b99-4136-bd0d-ff8055dbbadc,734ab211-f439-4306-8769-cc4098914082,CSV,CSV,rgn11_cd,rgn19_cd,"SELECT R.""rgn11_nm"", COUNT(DISTINCT R.""lad17_cd"") AS ""unique_local_authorities"" FROM R INNER JOIN S ON R.""rgn11_cd"" = S.""rgn19_cd"" GROUP BY R.""rgn11_nm""","How many unique local authorities are associated with each region in Great Britain as of December 2017, considering the relationship between regions from the Workplace Zone to Middle Layer Super Output Area to Local Authority District Lookup (2011-2017) and the regions from the Covid Infection Survey Geography to Regions lookup for the UK (2020)?",success,8.609,0,,2921,298,13.094,0,,7243,189,21.703
UK,single-table,simple,true,fb02a8ef-21d4-4529-83dc-e294d80d4d3f,,81769fb1-3737-4f02-a333-c12ad841854e,,,,,,"SELECT name, job_title FROM R WHERE organisation = 'the pensions regulator';",Could you show me the names and job titles of individuals who work at The Pensions Regulator?,success,5.239,0,,2370,208,5.96,0,,2537,150,11.199
UK,single-table,moderate,true,ddb4a905-ede9-42c4-a82a-7d503c5ef370,,bd294ec3-4ddc-4d8a-9522-7a3033a7611b,,2022-03-31 Organogram (Junior),,,,"SELECT organisation, COUNT(*) AS number_of_units FROM R GROUP BY organisation ORDER BY number_of_units DESC;","Which organizations within the Department for Business, Energy and Industrial Strategy have the most units, and how many units do they have?",success,5.791,0,,1756,251,5.474,0,,2234,147,11.265
UK,single-table,moderate,true,d880eb6a-31fe-45ce-9cb8-09df7b9c5b37,,65e60625-1ec1-4ab0-a450-6f460aaf014f,,,,,,"SELECT organisation, COUNT(*) AS number_of_units FROM R GROUP BY organisation;",How many units does each organization within the Security Industry Authority have according to their published organogram?,success,5.499,0,,1582,225,4.392,0,,1779,128,9.891
UK,single-table,simple,true,d697d950-ce4b-42cd-92c2-c8d2e9d31e7e,,45526f3f-5ddb-4cf8-881d-fc403333876b,,2024-09-30 Organogram (Junior),,,,SELECT * FROM R WHERE office_region = 'london';,"Can you show me the roles and positions within the Ministry of Housing, Communities and Local Government that are based in London?",success,5.442,0,,1794,237,4.96,0,,2087,134,10.402000000000001
UK,single-table,moderate,true,ed53f68e-ba45-4af7-a0ca-850d01159bb9,,6e2333b8-d8cb-464f-b8b6-ff9f032f7100,,CSV,,,,"SELECT lad14_cd, COUNT(*) AS area_count FROM R GROUP BY lad14_cd HAVING SUM(shape__area) > 1e8;","How many areas are covered by each local authority district in Great Britain as of December 2014, where the total area exceeds 100 square kilometers, according to the Office for National Statistics?",success,6.779,0,,1503,283,7.956,0,,3535,168,14.735
UK,single-table,challenging,true,412a5856-a311-4b8a-a38b-4be734cfa331,,a0335d5d-56d0-4181-a3d5-bbe7a52e4c07,,CSV,,,,"WITH RankedAreas AS (SELECT ""lad14_nm"", ""shape__area"", ROW_NUMBER() OVER (ORDER BY ""shape__area"" DESC) as rank FROM R) SELECT * FROM RankedAreas WHERE rank <= 3;",Which three Local Authority Districts in Great Britain have the largest areas according to the December 2014 boundaries data by the Office for National Statistics?,success,6.137,0,,1611,265,7.308,0,,3632,145,13.445
UK,single-table,moderate,true,6449acca-29f0-4683-9072-1f372d0ce903,,a90a9f70-e28c-4a95-a7a7-f79d12fbe219,,,,,,"SELECT organisation, COUNT(*) AS number_of_units FROM R GROUP BY organisation ORDER BY number_of_units DESC;","How many units does each organization within the Ministry of Justice have, listed in descending order?",success,5.501,0,,1613,249,4.578,0,,1948,131,10.079
UK,single-table,simple,true,39ed6afb-0c26-498c-9507-649bf38bf408,,b0bb8fd7-26e2-4a4b-b1e5-7e9bbf4932bc,,,,,,SELECT * FROM R WHERE location = 'tun';,"What were the Government Procurement Card transactions made by the Foreign and Commonwealth Office where the location is coded as 'tun', representing Tunisia?",success,4.519,0,,1363,218,9.599,1,,3490,288,14.118
UK,single-table,challenging,true,32a4e106-1da7-4b8c-ab9b-8155d3917a04,,b1cd2ae3-d089-43e8-bbed-f5927e98f970,,CSV,,,,"SELECT ipar22_cd, par22_nm, lat, long, RANK() OVER (PARTITION BY SUBSTR(par22_nm, 1, 3) ORDER BY shape__area DESC) as rank_by_area FROM R WHERE lat > 50.0","Can you provide a list of parishes in England and Wales with their unique codes and coordinates where the latitude is greater than 50.0 degrees, ranked by area size within each group of parishes that share the same first three letters in their names?",success,13.314,0,,2057,268,9.579,0,,3618,215,22.893
UK,multi-table-join,challenging,true,d3096580-5e22-4898-b2cd-33853184607f,6f7bfd48-d723-497f-a506-aa65018251e6,4940dcb0-49cc-4a66-844c-2c813b66f27c,17d5c23d-f431-48e8-802a-b987431c8d92,,,grade,grade,"SELECT R.grade, COUNT(DISTINCT R.generic_job_title) AS unique_titles_in_R, COUNT(DISTINCT S.generic_job_title) AS unique_titles_in_S FROM R JOIN S ON R.grade = S.grade GROUP BY R.grade HAVING COUNT(DISTINCT R.generic_job_title) > 1 AND COUNT(DISTINCT S.generic_job_title) > 1",Which job grades have more than one unique job title in both the Forestry Commission and Department for Transport organizations?,success,8.37,0,,2887,299,6.156,0,,3231,132,14.526
UK,multi-table-join,challenging,true,ee9deec8-ed99-4508-9c8d-b13f02942e18,b63edcf0-9e6e-4418-8890-c69c08916d07,60ac7752-a0fe-4235-ab73-e9ca8dacec85,f4a9b48f-9a11-47bd-8e5d-43a1a49e78e5,CSV,CSV,long,long,"SELECT R.isicbl22_cd, S.ccg21_nm, ROW_NUMBER() OVER (PARTITION BY R.long ORDER BY R.shape__area DESC) as row_num FROM R JOIN S ON R.long = S.long;","Which Sub-Integrated Care Board locations from July 2022 are associated with Clinical Commissioning Groups from April 2021 based on their longitude, and can you list them along with the corresponding CCG names, ordered by the area size of these Sub-ICB locations in descending order? Please include a row number for each location sharing the same longitude.",success,8.979,0,,3442,276,13.282,0,,7174,187,22.261
UK,single-table,simple,true,dbf766df-3814-4b22-8aa3-870ee280b1c5,,00948609-245c-4852-9b8f-3197983b7c7a,,FCDO (FCO) GPC transactions February 2022,,,,SELECT * FROM R WHERE location = 'png';,"What were the specific transactions made by the Foreign, Commonwealth and Development Office in Papua New Guinea (PNG) using their government procurement card in February 2022?",success,5.223,0,,1584,231,4.893,0,,1626,146,10.116
UK,single-table,challenging,true,cf21f5d0-22e9-40fa-a405-866b8a17a81d,,43f569b4-1f00-4861-8bf9-e5821b72ce7c,,CSV,,,,"WITH RankedAreas AS ( SELECT ""iobjectid"", ""pfa16nm"", ""shape__area"", ROW_NUMBER() OVER (PARTITION BY ""pfa16cd"" ORDER BY ""shape__area"" DESC) as area_rank FROM R ) SELECT ""iobjectid"", ""pfa16nm"", ""shape__area"" FROM RankedAreas WHERE area_rank = 1",Which Police Force Areas in England and Wales have the largest area according to the December 2016 boundaries provided by the Office for National Statistics?,success,7.817,0,,1921,315,9.073,0,,4125,177,16.89
UK,multi-table-join,challenging,true,de364786-9d96-4ae6-b343-61c09452e328,1c71947e-9cb8-4aaf-82c1-b444a7229fec,ce58a8e5-bad4-43e0-8008-267f8817a458,736da925-f409-49b8-99c8-6ea7a57641d0,,,grade,grade,"SELECT R.""grade"", COUNT(DISTINCT R.""generic_job_title"") AS ""unique_titles_R"", COUNT(DISTINCT S.""generic_job_title"") AS ""unique_titles_S"" FROM R JOIN S ON R.""grade"" = S.""grade"" GROUP BY R.""grade"" HAVING COUNT(DISTINCT R.""generic_job_title"") > 1 AND COUNT(DISTINCT S.""generic_job_title"") > 1",How many different job titles are there for each grade in both the Identity & Passport Service and Home Office departments where the number of unique job titles is more than one?,success,9.254,0,,2999,350,6.59,0,,3178,143,15.844
UK,single-table,simple,true,f7ce4f52-1e14-4258-ac3c-277d3e43bdf5,,36842a6c-f374-401d-acd4-fdf7a9c5ed95,,,,,,"SELECT department_family, entity FROM R WHERE expense_type = 'vehicle hire';","Which department families and entities within the Ministry of Housing, Communities and Local Government have incurred expenses specifically for vehicle hire?",success,5.712,0,,2294,224,24.113,3,,10234,641,29.825
UK,single-table,moderate,true,d8044e95-9f2b-4f53-b711-ce1e90ec8b82,,5161398b-c0f9-45b9-8451-893face3a9ab,,,,,,"SELECT COUNT(*) AS total_posts, parent_department FROM R GROUP BY parent_department ORDER BY total_posts DESC;","Could you provide a list showing how many posts each parent department has within High Speed Two Limited, ordered from the highest number of posts to the lowest?",success,5.751,0,,2383,228,5.644,0,,2555,141,11.395
UK,single-table,challenging,true,f6bf5ac9-099a-45f5-af07-faef2a4e5f1b,,db2d6390-df7c-4fbe-95d4-425053e3bf75,,CSV,,,,"WITH RankedAreas AS ( SELECT R.""lad18nm"", R.""shape__area"", RANK() OVER (PARTITION BY SUBSTR(R.""lad18cd"", 1, 3) ORDER BY R.""shape__area"" DESC) as area_rank FROM R ) SELECT ""lad18nm"", ""shape__area"", area_rank FROM RankedAreas WHERE area_rank <= 2;","Which Local Authority Districts in the United Kingdom had the largest areas as of December 2018, specifically listing only the top two districts within each region?",success,36.062,2,,6167,1376,8.355,0,,3984,162,44.417
UK,single-table,moderate,true,e112a67d-d4c1-4ee6-95b5-2a3fbe4759d5,,b0bb8fd7-26e2-4a4b-b1e5-7e9bbf4932bc,,,,,,"SELECT ""merchant_category_group"", SUM(CAST(REPLACE(""amount"", ',', '') AS FLOAT)) AS total_amount FROM R WHERE ""amount"" ~ '^\d+(\.\d+)?$' GROUP BY ""merchant_category_group""","Could you provide a summary of the total spending by the Foreign and Commonwealth Office (FCO) in different merchant category groups, such as catering or general retail, based on their Government Procurement Card transactions over £500? The summary should show the sum of amounts for each category.",success,13.641,1,,2772,614,21.354,2,,5987,650,34.995
UK,multi-table-join,challenging,true,e67b73ea-884b-42e6-bfdc-6f327dac6f90,377caa6b-70c2-43ac-9793-52147270b2e4,fff4cc89-d266-42dd-a9e3-9877db1e05fc,5359dd6e-64ad-49f8-9dda-3dc740f95635,,2019-03-31 Organogram (Junior),professional/occupational_group,professional/occupational_group,"SELECT R.name, COUNT(DISTINCT S.generic_job_title) AS distinct_job_titles_count FROM R JOIN S ON R.""professional/occupational_group"" = S.""professional/occupational_group"" GROUP BY R.name HAVING COUNT(DISTINCT S.generic_job_title) > 1",Which individuals in the Defence Infrastructure Organisation have more than one distinct job title associated with their professional or occupational group within Air Command?,success,8.969,0,,3809,292,7.35,0,,3735,161,16.319
